id,ON STREET NAME,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 3,NUMBER OF CYCLIST INJURED,LONGITUDE,OFF STREET NAME,VEHICLE TYPE CODE 4,LATITUDE,LOCATION,VEHICLE TYPE CODE 1,NUMBER OF MOTORIST INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 2,NUMBER OF PEDESTRIANS KILLED,CROSS STREET NAME,NUMBER OF PERSONS INJURED,VEHICLE TYPE CODE 2,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,ZIP CODE,VEHICLE TYPE CODE 3,NUMBER OF CYCLIST KILLED,DATE,UNIQUE KEY,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 5,TIME,NUMBER OF PEDESTRIANS INJURED
18,WORTMAN AVENUE,0,,0,-73.8720068,,,40.66251389999999,"(40.6625139, -73.8720068)",TAXI,0,0,,Unspecified,0,MONTAUK AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11208.0,,0,11/10/2016,3559576,,,16:11:00,0
21,HUBERT STREET,0,,0,-74.0083444,,,40.721322799999996,"(40.7213228, -74.0083444)",PASSENGER VEHICLE,0,0,,,0,HUDSON STREET,1,,MANHATTAN,Failure to Yield Right-of-Way,10013.0,,0,11/10/2016,3557391,,,05:11:00,1
69,HENRY STREET,0,,0,-73.9975625,,,40.6879989,"(40.6879989, -73.9975625)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,WARREN STREET,0,VAN,BROOKLYN,Lost Consciousness,11201.0,,0,04/16/2016,3419378,,,09:15:00,0
80,,0,Failure to Yield Right-of-Way,0,-73.8545422,67-64 FLEET STREET,,40.7192276,"(40.7192276, -73.8545422)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11375.0,PASSENGER VEHICLE,0,04/15/2016,3428072,,,10:20:00,0
85,BEDFORD AVENUE,0,,0,-73.9527315,,,40.6321467,"(40.6321467, -73.9527315)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,CAMPUS ROAD,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11210.0,,0,04/15/2016,3417537,,,10:35:00,0
89,COLUMBUS AVENUE,0,,0,-73.9773678,,,40.7793641,"(40.7793641, -73.9773678)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,WEST 75 STREET,0,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10023.0,,0,04/15/2016,3409274,,,10:50:00,0
119,,0,,0,-73.8969612,6253      BROADWAY,,40.8975679,"(40.8975679, -73.8969612)",PASSENGER VEHICLE,0,0,,Unsafe Speed,0,,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10471.0,,0,11/10/2016,3557801,,,20:11:00,0
127,ROCKAWAY BOULEVARD,0,,0,-73.7738282,,,40.659650899999995,"(40.6596509, -73.7738282)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,FARMERS BOULEVARD,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11434.0,,0,04/15/2016,3424164,,,11:30:00,0
147,GRAND AVENUE,0,,0,-73.9625453,,,40.677285499999996,"(40.6772855, -73.9625453)",MOTORCYCLE,1,0,,Lost Consciousness,0,SAINT MARKS AVENUE,1,,BROOKLYN,Lost Consciousness,11238.0,,0,04/15/2016,3419618,,,12:00:00,0
173,114 ROAD,0,,0,-73.732433,,,40.7009644,"(40.7009644, -73.732433)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,225 STREET,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11411.0,,0,04/15/2016,3424166,,,12:50:00,0
180,RICHMOND AVENUE,0,,0,-74.15397349999998,,,40.5342669,"(40.5342669, -74.1539735)",PASSENGER VEHICLE,1,0,,Unspecified,0,HYLAN BOULEVARD,1,PASSENGER VEHICLE,STATEN ISLAND,Failure to Yield Right-of-Way,10312.0,,0,11/10/2016,3559009,,,20:11:00,0
188,CALYER STREET,0,,0,-73.9558065,,,40.727295500000004,"(40.7272955, -73.9558065)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,CLIFFORD PLACE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11222.0,,0,04/15/2016,3421848,,,13:15:00,0
205,130 STREET,0,,0,-73.83886109999997,,,40.7786169,"(40.7786169, -73.8388611)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,23 AVENUE,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11356.0,,0,04/15/2016,3426617,,,13:50:00,0
221,WALLABOUT STREET,0,,0,-73.9571664,,,40.6997084,"(40.6997084, -73.9571664)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,BEDFORD AVENUE,0,,BROOKLYN,Lost Consciousness,11206.0,,0,04/15/2016,3421539,,,14:55:00,0
238,,0,,0,-73.9088261,50-06 31 AVENUE,,40.7574437,"(40.7574437, -73.9088261)",PASSENGER VEHICLE,0,0,,,0,,1,,QUEENS,Failure to Yield Right-of-Way,11377.0,,0,04/15/2016,3429070,,,15:00:00,1
255,JEROME AVENUE,0,,0,-73.8780005,,,40.88744620000001,"(40.8874462, -73.8780005)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,BAINBRIDGE AVENUE,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10467.0,,0,04/15/2016,3414390,,,15:40:00,0
266,WESTCHESTER AVENUE,0,,0,-73.8860957,,,40.82765560000001,"(40.8276556, -73.8860957)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,WHITLOCK AVENUE,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10472.0,,0,04/15/2016,3411451,,,16:00:00,0
274,111 STREET,0,,0,-73.82897109999998,,,40.6803265,"(40.6803265, -73.8289711)",PICK-UP TRUCK,0,0,,,0,109 AVENUE,1,,QUEENS,Failure to Yield Right-of-Way,11420.0,,0,11/10/2016,3557557,,,06:11:00,1
290,CANAL STREET,0,,0,-74.006299,,,40.722549900000004,"(40.7225499, -74.006299)",PASSENGER VEHICLE,3,0,,Failure to Yield Right-of-Way,0,VARICK STREET,3,,MANHATTAN,Failure to Yield Right-of-Way,10013.0,,0,04/15/2016,3405498,,,16:03:00,0
314,EAST FORDHAM ROAD,0,,0,-73.88079259999998,,,40.857128499999995,"(40.8571285, -73.8807926)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,SOUTHERN BOULEVARD,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10458.0,,0,04/15/2016,3413760,,,17:00:00,0
316,86 STREET,0,,0,-74.0026435,,,40.6072584,"(40.6072584, -74.0026435)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,18 AVENUE,0,SMALL COM VEH(4 TIRES),BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,04/15/2016,3415384,,,17:00:00,0
319,GRAND AVENUE,0,,0,-73.8953397,,,40.72591970000001,"(40.7259197, -73.8953397)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,69 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11378.0,,0,04/15/2016,3423465,,,17:00:00,0
349,METCALF AVENUE,0,,0,-73.8720302,,,40.82691629999999,"(40.8269163, -73.8720302)",,0,0,,,0,WATSON AVENUE,1,,BRONX,Failure to Yield Right-of-Way,10472.0,,0,11/10/2016,3560252,,,09:11:00,1
350,18 AVENUE,0,,0,-74.0026435,,,40.6072584,"(40.6072584, -74.0026435)",SPORT UTILITY / STATION WAGON,0,0,,,0,86 STREET,1,,BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,11/10/2016,3557449,,,09:11:00,1
351,AVENUE W,0,,0,-73.95270040000003,,,40.5946391,"(40.5946391, -73.9527004)",PASSENGER VEHICLE,1,0,,Unspecified,0,EAST 18 STREET,1,SPORT UTILITY / STATION WAGON,BROOKLYN,Failure to Yield Right-of-Way,11229.0,,0,11/10/2016,3560525,,,09:11:00,0
372,5 AVENUE,0,,0,-73.976743,,,40.7591654,"(40.7591654, -73.976743)",OTHER,0,0,,Failure to Yield Right-of-Way,0,WEST 51 STREET,0,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10022.0,,0,04/15/2016,3408389,,,18:10:00,0
376,72 STREET,0,,0,-73.99422259999999,,,40.6151303,"(40.6151303, -73.9942226)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,18 AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11204.0,,0,04/15/2016,3415397,,,18:25:00,0
392,,0,,0,-73.8858308,961 EAST 174 STREET,,40.836734899999996,"(40.8367349, -73.8858308)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10460.0,,0,04/07/2016,3411692,,,15:27:00,0
407,EMPIRE BOULEVARD,0,,0,-73.96244870000002,,,40.6631828,"(40.6631828, -73.9624487)",PASSENGER VEHICLE,0,0,,,0,FLATBUSH AVENUE,1,,BROOKLYN,Failure to Yield Right-of-Way,11225.0,,0,04/15/2016,3417834,,,20:15:00,1
410,130 AVENUE,0,Failure to Yield Right-of-Way,0,-73.7399958,,,40.682506599999996,"(40.6825066, -73.7399958)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,227 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11413.0,,0,03/13/2016,3423593,,,19:24:00,0
411,149 STREET,0,,0,-73.8163873,,,40.7631605,"(40.7631605, -73.8163873)",SPORT UTILITY / STATION WAGON,0,0,,,0,ROOSEVELT AVENUE,1,,QUEENS,Failure to Yield Right-of-Way,11354.0,,0,03/13/2016,3404912,,,19:35:00,1
419,UTOPIA PARKWAY,0,,0,-73.7924146,,,40.7467748,"(40.7467748, -73.7924146)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,UNDERHILL AVENUE,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11365.0,,0,04/15/2016,3427624,,,21:00:00,0
420,48 AVENUE,0,,0,-73.76716390000001,,,40.755658000000004,"(40.755658, -73.7671639)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,BELL BOULEVARD,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11364.0,,0,04/15/2016,3427623,,,21:07:00,0
424,FLATBUSH AVENUE,0,,0,-73.9780417,,,40.6848568,"(40.6848568, -73.9780417)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,4 AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11217.0,,0,04/15/2016,3420927,,,21:47:00,0
432,65 PLACE,0,,0,-73.9000093,,,40.7348498,"(40.7348498, -73.9000093)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,MAURICE AVENUE,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11377.0,,0,04/15/2016,3423469,,,22:12:00,0
442,,0,,0,-74.00090379999997,8973      BAY PARKWAY,,40.5951044,"(40.5951044, -74.0009038)",PASSENGER VEHICLE,0,0,,Unspecified,0,,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,11/09/2016,3557102,,,11:11:00,0
465,FLATBUSH AVENUE,0,,0,-73.96142950000002,,,40.6616893,"(40.6616893, -73.9614295)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,LEFFERTS AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11225.0,,0,04/15/2016,3417830,,,02:50:00,0
467,EAST 233 STREET,0,,0,-73.85566329999997,,,40.89285220000001,"(40.8928522, -73.8556633)",OTHER,0,0,,Failure to Yield Right-of-Way,0,BYRON AVENUE,0,,BRONX,Failure to Yield Right-of-Way,10466.0,,0,04/15/2016,3413402,,,03:52:00,0
488,CORONA AVENUE,0,,0,-73.86747290000002,,,40.742096000000004,"(40.742096, -73.8674729)",PASSENGER VEHICLE,0,0,,,0,JUNCTION BOULEVARD,1,,QUEENS,Failure to Yield Right-of-Way,11368.0,,0,04/15/2016,3427145,,,05:50:00,1
502,,0,,0,-73.83405390000001,40-24     COLLEGE POINT BOULEVARD,,40.757450799999994,"(40.7574508, -73.8340539)",PASSENGER VEHICLE,0,0,,Unspecified,0,,0,,QUEENS,Failure to Yield Right-of-Way,11354.0,,0,11/09/2016,3556821,,,15:11:00,0
509,JEROME AVENUE,0,,0,-73.9141598,,,40.84517750000001,"(40.8451775, -73.9141598)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,CROSS BRONX EXPRESSWAY,1,,BRONX,Failure to Yield Right-of-Way,10452.0,,0,04/15/2016,3412374,,,07:00:00,0
533,TIBBETT AVENUE,0,,0,-73.9096784,,,40.8795157,"(40.8795157, -73.9096784)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,WEST 230 STREET,1,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10463.0,,0,04/15/2016,3414086,,,07:45:00,0
535,7 AVENUE,0,,0,-73.9951533,,,40.7447605,"(40.7447605, -73.9951533)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,WEST 24 STREET,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10001.0,,0,04/15/2016,3406728,,,07:58:00,0
536,AVENUE S,0,,0,-73.94847270000002,,,40.6044444,"(40.6044444, -73.9484727)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,EAST 24 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11229.0,,0,04/15/2016,3415018,,,08:00:00,0
544,EAST 57 STREET,0,,0,-73.9629257,,,40.7583082,"(40.7583082, -73.9629257)",PASSENGER VEHICLE,0,0,,,0,1 AVENUE,0,,MANHATTAN,Failure to Yield Right-of-Way,10022.0,,0,04/15/2016,3407855,,,08:30:00,0
555,,0,,0,-73.97988570000003,30 EAST 40 STREET,,40.7513709,"(40.7513709, -73.9798857)",,0,0,,Failure to Yield Right-of-Way,0,,0,,MANHATTAN,Failure to Yield Right-of-Way,10016.0,,0,04/15/2016,3407848,,,08:45:00,0
574,,0,,0,-73.8666495,,,40.733379600000006,"(40.7333796, -73.8666495)",SPORT UTILITY / STATION WAGON,0,0,,Unspecified,0,,0,PASSENGER VEHICLE,,Failure to Yield Right-of-Way,,,0,11/09/2016,3557368,,,16:11:00,0
579,164 STREET,0,,0,-73.805166,,,40.7304548,"(40.7304548, -73.805166)",PASSENGER VEHICLE,0,0,,,0,71 AVENUE,1,,QUEENS,Failure to Yield Right-of-Way,11365.0,,0,04/15/2016,3425289,,,09:00:00,1
614,59 STREET,0,,0,-73.9088266,,,40.72538770000001,"(40.7253877, -73.9088266)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,56 AVENUE,0,PASSENGER VEHICLE,QUEENS,Lost Consciousness,11378.0,,0,04/14/2016,3423455,,,10:41:00,0
631,WEST 165 STREET,0,Unspecified,0,-73.9430642,,,40.8401945,"(40.8401945, -73.9430642)",PASSENGER VEHICLE,0,0,,Unspecified,0,FORT WASHINGTON AVENUE,0,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10032.0,SPORT UTILITY / STATION WAGON,0,11/09/2016,3558129,,,17:11:00,0
653,ROOSEVELT AVENUE,0,,0,-73.8265417,,,40.7604644,"(40.7604644, -73.8265417)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,UNION STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11354.0,,0,04/14/2016,3426590,,,11:45:00,0
659,,0,,0,-73.9558646,1035 DEAN STREET,,40.6776646,"(40.6776646, -73.9558646)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11238.0,,0,04/14/2016,3419609,,,12:00:00,0
687,PENNSYLVANIA AVENUE,0,,0,-73.8936503,,,40.6632221,"(40.6632221, -73.8936503)",SPORT UTILITY / STATION WAGON,0,0,,Unspecified,0,RIVERDALE AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11207.0,,0,11/09/2016,3556871,,,18:11:00,0
703,46 AVENUE,0,,0,-73.79732659999998,,,40.75387050000001,"(40.7538705, -73.7973266)",SPORT UTILITY / STATION WAGON,0,0,,Unspecified,0,170 STREET,0,SPORT UTILITY / STATION WAGON,QUEENS,Failure to Yield Right-of-Way,11358.0,,0,11/09/2016,3557209,,,18:11:00,0
722,WEST 15 STREET,0,,0,-74.00486090000003,,,40.74164520000001,"(40.7416452, -74.0048609)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,9 AVENUE,0,,MANHATTAN,Lost Consciousness,10011.0,,0,04/14/2016,3406710,,,14:00:00,0
731,EDGEWATER STREET,0,,0,-74.0709552,,,40.6204307,"(40.6204307, -74.0709552)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,BAY STREET,0,PASSENGER VEHICLE,STATEN ISLAND,Lost Consciousness,10305.0,,0,04/14/2016,3429852,,,14:05:00,0
754,AUSTIN STREET,0,,0,-73.83672609999998,,,40.7157398,"(40.7157398, -73.8367261)",PASSENGER VEHICLE,0,0,,,0,76 ROAD,1,,QUEENS,Failure to Yield Right-of-Way,11375.0,,0,04/14/2016,3428063,,,14:30:00,1
755,FARMERS BOULEVARD,0,,0,-73.7738282,,,40.659650899999995,"(40.6596509, -73.7738282)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,ROCKAWAY BOULEVARD,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11434.0,,0,04/14/2016,3424145,,,14:30:00,0
759,,0,,0,-73.99035,6516 18 AVENUE,,40.6189755,"(40.6189755, -73.99035)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11204.0,,0,04/14/2016,3415375,,,15:00:00,0
762,FLUSHING AVENUE,0,,1,-73.93836429999998,,,40.701544299999995,"(40.7015443, -73.9383643)",BICYCLE,0,0,,Driver Inattention/Distraction,0,GARDEN STREET,1,BICYCLE,BROOKLYN,Failure to Yield Right-of-Way,11206.0,,0,11/09/2016,3557532,,,18:11:00,0
763,RALPH AVENUE,0,,0,-73.9182425,,,40.6287705,"(40.6287705, -73.9182425)",SPORT UTILITY / STATION WAGON,0,0,,,0,AVENUE J,1,,BROOKLYN,Failure to Yield Right-of-Way,11234.0,,0,11/09/2016,3557571,,,18:11:00,1
767,QUEENS BOULEVARD,0,,0,-73.8187046,,,40.708872899999996,"(40.7088729, -73.8187046)",SPORT UTILITY / STATION WAGON,1,0,,Unspecified,0,84 DRIVE,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11435.0,,0,11/09/2016,3557888,,,18:11:00,0
770,,0,,0,-73.9861635,10 EAST 29 STREET,,40.745003999999994,"(40.745004, -73.9861635)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10016.0,,0,04/14/2016,3407048,,,15:00:00,0
773,METCALF AVENUE,0,,0,-73.8707949,,,40.8246654,"(40.8246654, -73.8707949)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,VAN,,Lost Consciousness,,,0,04/14/2016,3412031,,,15:10:00,0
795,BAY 16 STREET,0,,0,-74.0034863,,,40.608746000000004,"(40.608746, -74.0034863)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,85 STREET,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11214.0,,0,04/14/2016,3415377,,,15:50:00,0
797,WYTHE AVE,0,,1,-73.9616204,,,40.718415500000006,"(40.7184155, -73.9616204)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,NORTH 5 STREET,1,BICYCLE,BROOKLYN,Failure to Yield Right-of-Way,11249.0,,0,04/14/2016,3421839,,,15:50:00,0
809,ATLANTIC AVENUE,0,,0,-73.92753859999998,,,40.6772496,"(40.6772496, -73.9275386)",PASSENGER VEHICLE,0,0,,,0,ROCHESTER AVENUE,1,,BROOKLYN,Failure to Yield Right-of-Way,11233.0,,0,11/07/2016,3557339,,,09:11:00,1
816,VAN SINDEREN AVENUE,0,,0,-73.9008524,,,40.6653448,"(40.6653448, -73.9008524)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,DUMONT AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11207.0,,0,04/14/2016,3435000,,,16:20:00,0
819,DIVISION STREET,0,,0,-73.99750379999998,,,40.71406870000001,"(40.7140687, -73.9975038)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,BOWERY,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10002.0,,0,04/14/2016,3405804,,,16:25:00,0
833,WOODHAVEN BOULEVARD,0,,0,-73.8488335,,,40.6881494,"(40.6881494, -73.8488335)",PASSENGER VEHICLE,2,0,,Failure to Yield Right-of-Way,0,ATLANTIC AVENUE,2,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11416.0,,0,04/14/2016,3422480,,,17:02:00,0
873,OCCIDENT AVENUE,0,,0,-74.0838801,,,40.6292849,"(40.6292849, -74.0838801)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,MARION AVENUE,0,PASSENGER VEHICLE,STATEN ISLAND,Failure to Yield Right-of-Way,10304.0,,0,04/14/2016,3429813,,,17:34:00,0
877,,0,,0,-73.91831309999998,403 WEST 205 STREET,,40.8625298,"(40.8625298, -73.9183131)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10034.0,,0,04/14/2016,3410832,,,17:40:00,0
891,,0,,0,-73.96332029999998,268 WYTHE AVENUE,,40.7168461,"(40.7168461, -73.9633203)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,BROOKLYN,Failure to Yield Right-of-Way,11249.0,,0,04/14/2016,3421842,,,18:04:00,0
926,RICHMOND AVE,0,,0,-74.1610238,,,40.53989779999999,"(40.5398978, -74.1610238)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,SYCAMORE STREET,0,PASSENGER VEHICLE,STATEN ISLAND,Failure to Yield Right-of-Way,10312.0,,0,04/14/2016,3430705,,,19:10:00,0
927,QUEENS BOULEVARD,0,,0,-73.8367417,,,40.718212799999996,"(40.7182128, -73.8367417)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,75 ROAD,0,PASSENGER VEHICLE,QUEENS,Lost Consciousness,11375.0,,0,04/14/2016,3428067,,,19:15:00,0
933,COSTER STREET,0,,0,-73.8868051,,,40.8120773,"(40.8120773, -73.8868051)",TAXI,0,0,,,0,RANDALL AVENUE,1,,BRONX,Failure to Yield Right-of-Way,10474.0,,0,11/09/2016,3558822,,,06:11:00,1
934,FLATLANDS AVENUE,0,,0,-73.92948299999998,,,40.625031299999996,"(40.6250313, -73.929483)",PASSENGER VEHICLE,1,0,,Unspecified,0,EAST 48 STREET,1,SPORT UTILITY / STATION WAGON,BROOKLYN,Failure to Yield Right-of-Way,11234.0,,0,11/09/2016,3557565,,,06:11:00,0
944,9 AVENUE,0,,0,-74.0039696,,,40.742863899999996,"(40.7428639, -74.0039696)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,WEST 17 STREET,0,,MANHATTAN,Lost Consciousness,10011.0,,0,04/14/2016,3406715,,,19:20:00,0
987,,0,,0,-73.9027329,,,40.738494700000004,"(40.7384947, -73.9027329)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,OTHER,,Lost Consciousness,,,0,04/14/2016,3425899,,,21:40:00,0
988,WEST BROADWAY,0,,0,-74.00795790000002,,,40.7171234,"(40.7171234, -74.0079579)",PASSENGER VEHICLE,0,0,,,0,THOMAS STREET,1,,MANHATTAN,Failure to Yield Right-of-Way,10013.0,,0,04/14/2016,3405480,,,21:40:00,1
1004,PENNSYLVANIA AVENUE,0,,0,-73.89685329999998,,,40.675735700000004,"(40.6757357, -73.8968533)",PASSENGER VEHICLE,0,0,,Unspecified,0,ATLANTIC AVENUE,0,SPORT UTILITY / STATION WAGON,BROOKLYN,Failure to Yield Right-of-Way,11207.0,,0,11/05/2016,3554735,,,12:11:00,0
1046,FLATBUSH AVENUE,0,,0,-73.96244870000002,,,40.6631828,"(40.6631828, -73.9624487)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,EMPIRE BOULEVARD,0,OTHER,BROOKLYN,Lost Consciousness,11225.0,,0,04/14/2016,3419883,,,06:35:00,0
1048,WOODHAVEN BOULEVARD,0,,0,-73.84691670000002,,,40.6859236,"(40.6859236, -73.8469167)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,97 AVENUE,0,,QUEENS,Lost Consciousness,11416.0,,0,04/14/2016,3422473,,,06:50:00,0
1050,,0,,0,-73.8044593,157-36 18 AVENUE,,40.7819506,"(40.7819506, -73.8044593)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11357.0,,0,04/14/2016,3426584,,,07:00:00,0
1064,35 AVENUE,0,,0,-73.92850109999998,,,40.7581273,"(40.7581273, -73.9285011)",PASSENGER VEHICLE,1,0,,Lost Consciousness,0,31 STREET,1,,QUEENS,Lost Consciousness,11106.0,,0,04/14/2016,3429049,,,07:05:00,0
1069,WOOLLEY AVENUE,0,Lost Consciousness,0,-74.13891640000001,,,40.607688399999994,"(40.6076884, -74.1389164)",MOTORCYCLE,1,0,,Lost Consciousness,0,,2,PASSENGER VEHICLE,,Lost Consciousness,,PASSENGER VEHICLE,0,04/14/2016,3430223,,,07:26:00,0
1086,47 AVENUE,0,,0,-73.7676685,,,40.756907899999995,"(40.7569079, -73.7676685)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,BELL BOULEVARD,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11361.0,,0,04/14/2016,3427597,,,08:00:00,0
1089,EAST 163 STREET,0,,0,-73.9131663,,,40.825456,"(40.825456, -73.9131663)",PASSENGER VEHICLE,0,0,,,0,MELROSE AVENUE,1,,BRONX,Failure to Yield Right-of-Way,10451.0,,0,04/14/2016,3411649,,,08:10:00,1
1107,SPRINGFIELD BOULEVARD,0,,0,-73.7548493,,,40.677928,"(40.677928, -73.7548493)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,136 AVENUE,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11413.0,,0,04/14/2016,3424147,,,08:30:00,0
1124,NORTHERN BOULEVARD,0,,0,-73.73707399999998,,,40.7687955,"(40.7687955, -73.737074)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,251 STREET,0,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11362.0,,0,04/14/2016,3427603,,,08:40:00,0
1125,PROSPECT EXPRESSWAY,0,,0,-73.9961894,,,40.6665019,"(40.6665019, -73.9961894)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,SMALL COM VEH(4 TIRES),,Lost Consciousness,,,0,04/14/2016,3418150,,,08:40:00,0
